Photon Energy (eV),Absorption Intensity
44.872,0.987577826
44.9405,0.987473634
45.009,0.987365249
45.0775,0.987255835
45.146,0.987211021
45.2145,0.987269649
45.283,0.987387135
45.3515,0.987515281
45.42,0.98755704
45.4885,0.987526262
45.557,0.987460692
45.6255,0.987335818
45.694,0.987132562
45.7626,0.98688326
45.8311,0.986660677
45.8996,0.986503025
45.9681,0.986361514
46.0366,0.986202455
46.1051,0.986038893
46.1736,0.985893344
46.2421,0.985797309
46.3106,0.985707861
46.3791,0.985619011
46.4476,0.985460252
46.5161,0.985291441
46.5846,0.985172031
46.6531,0.985153315
46.7216,0.985169787
46.7902,0.9851997
46.8587,0.985164048
46.9272,0.985039104
46.9957,0.984929623
47.0642,0.984857722
47.1327,0.984721664
47.2012,0.984515275
47.2697,0.984380538
47.3382,0.984344174
47.4067,0.984345547
47.4752,0.984365391
47.5437,0.984441198
47.6122,0.984588107
47.6807,0.984836147
47.7493,0.985067712
47.8178,0.985310513
47.8863,0.985590686
47.9548,0.985803522
48.0233,0.985936562
48.0918,0.986065496
48.1603,0.986270449
48.2288,0.986519812
48.2973,0.986779388
48.3658,0.987060381
48.4343,0.987398202
48.5028,0.98782039
48.5713,0.988271705
48.6398,0.988657253
48.7083,0.988989496
48.7769,0.989292226
48.8454,0.989577277
48.9139,0.989830786
48.9824,0.990050164
49.0509,0.990237853
49.1194,0.99041011
49.1879,0.990582343
49.2564,0.990754452
49.3249,0.990950485
49.3934,0.99114357
49.4619,0.991297077
49.5304,0.991411539
49.5989,0.991526896
49.6674,0.991642154
49.7359,0.991747195
49.8045,0.991828877
49.873,0.991912743
49.9415,0.992009342
50.01,0.992117464
50.0785,0.992217563
50.147,0.992323679
50.2155,0.992446812
50.284,0.992572908
50.3525,0.992693611
50.421,0.992793158
50.4895,0.992874447
50.558,0.992938676
50.6265,0.992998381
50.695,0.99305853
50.7636,0.993113443
50.8321,0.993186428
50.9006,0.993262213
50.9691,0.99333116
51.0376,0.993392672
51.1061,0.993442125
51.1746,0.993475691
51.2431,0.993493531
51.3116,0.99350876
51.3801,0.993531412
51.4486,0.993571415
51.5171,0.993631882
51.5856,0.993694053
51.6541,0.993727354
51.7226,0.993735685
51.7912,0.993757298
51.8597,0.993784167
51.9282,0.993821176
51.9967,0.993866824
52.0652,0.993900371
52.1337,0.993917418
52.2022,0.993942194
52.2707,0.993977278
52.3392,0.9940135
52.4077,0.994032681
52.4762,0.994026373
52.5447,0.994006129
52.6132,0.99394502
52.6817,0.993796093
52.7502,0.993551482
52.8188,0.993152743
52.8873,0.992655535
52.9558,0.992050997
53.0243,0.991299205
53.0928,0.98985331
53.1613,0.987275513
53.2298,0.983618723
53.2983,0.977025661
53.3668,0.966460094
53.4353,0.953596036
53.5038,0.940226347
53.5723,0.931025677
53.6408,0.926971801
53.7093,0.9203647
53.7779,0.915639807
53.8464,0.910605675
53.9149,0.905253028
53.9834,0.902513799
54.0519,0.899696304
54.1204,0.893648735
54.1889,0.890535843
54.2574,0.89068385
54.3259,0.890831381
54.3944,0.891001647
54.4629,0.887827246
54.5314,0.884550276
54.5999,0.88117982
54.6684,0.881354539
54.7369,0.877876928
54.8055,0.878065955
54.874,0.878254017
54.9425,0.870813471
55.011,0.867003807
55.0795,0.863070869
55.148,0.859024613
55.2165,0.854847327
55.285,0.850534644
55.3535,0.841263975
55.422,0.83651524
55.4905,0.831627771
55.559,0.821124404
55.6275,0.809931531
55.696,0.79800297
55.7645,0.778490386
55.8331,0.757005341
55.9016,0.741582463
55.9701,0.725121098
56.0386,0.716605654
56.1071,0.707849716
56.1756,0.698804631
56.2441,0.679547402
56.3126,0.669594305
56.3811,0.625459077
56.4496,0.588492172
56.5181,0.533182755
56.5866,0.48683873
56.6551,0.435794977
56.7236,0.398983111
56.7922,0.379756494
56.8607,0.359885107
56.9292,0.360081
56.9977,0.339550412
57.0662,0.33973763
57.1347,0.339924636
57.2032,0.318699135
57.2717,0.318876824
57.3402,0.319069317
57.4087,0.319261605
57.4772,0.297286302
57.5457,0.297482031
57.6142,0.297663358
57.6827,0.297844499
57.7512,0.298039654
57.8198,0.298220847
57.8883,0.298415622
57.9568,0.275636503
58.0253,0.275818938
58.0938,0.2760012
58.1623,0.276183289
58.2308,0.276365205
58.2993,0.276546949
58.3678,0.276728521
58.4363,0.27690992
58.5048,0.277104488
58.5733,0.277285544
58.6418,0.253620649
58.7103,0.253788594
58.7788,0.253968802
58.8474,0.25413681
58.9159,0.254316709
58.9844,0.254496455
59.0529,0.254676048
59.1214,0.254855488
59.1899,0.255034776
59.2584,0.255213912
59.3269,0.255392896
59.3954,0.255571727
59.4639,0.255750407
59.5324,0.231090605
59.6009,0.231254409
59.6694,0.231429507
59.7379,0.231593043
59.8065,0.231756784
59.875,0.231931486
59.9435,0.232094622
60.012,0.232269061
60.0805,0.232431932
60.149,0.232606109
60.2175,0.232768715
60.286,0.232942631
60.3545,0.233116418
60.423,0.233278628
60.4915,0.233452156
60.56,0.233625554
60.6285,0.233798824
60.697,0.208026344
60.7655,0.208172453
60.8341,0.208329127
60.9026,0.208485386
60.9711,0.208641534
61.0396,0.208797571
61.1081,0.208953497
61.1766,0.209119702
61.2451,0.209275409
61.3136,0.209431006
61.3821,0.209586493
61.4506,0.209741869
61.5191,0.209907538
61.5876,0.210062697
61.6561,0.210217746
61.7246,0.210383096
61.7931,0.210537928
61.8617,0.210692952
61.9302,0.210857984
61.9987,0.211012491
62.0672,0.211177313
62.1357,0.211331604
62.2042,0.184275319
62.2727,0.184411917
62.3412,0.184557685
62.4097,0.184703366
62.4782,0.184839692
62.5467,0.184985197
62.6152,0.185130615
62.6837,0.185266669
62.7522,0.185411911
62.8208,0.185557334
62.8893,0.185702403
62.9578,0.185847387
63.0263,0.185992285
63.0948,0.186127801
63.1633,0.186272524
63.2318,0.186417161
63.3003,0.186561713
63.3688,0.186706179
63.4373,0.18685056
63.5058,0.186994855
63.5743,0.187139065
63.6428,0.18728319
63.7113,0.18742723
63.7798,0.187580514
63.8484,0.187724652
63.9169,0.18786844
63.9854,0.188012143
64.0539,0.188155762
64.1224,0.188299296
64.1909,0.15971484
64.2594,0.15983853
64.3279,0.15996215
64.3964,0.160085701
64.4649,0.160217269
64.5334,0.160340685
64.6019,0.160472125
64.6704,0.160595406
64.7389,0.160718618
64.8074,0.160849865
64.876,0.16097317
64.9445,0.161104289
65.013,0.161227232
65.0815,0.161358224
65.15,0.161481033
65.2185,0.161611898
65.287,0.161734574
65.3555,0.161865312
65.424,0.161987854
65.4925,0.162118465
65.561,0.162240874
65.6295,0.162371359
65.698,0.162501782
65.7665,0.162623993
65.8351,0.162754516
65.9036,0.162884752
65.9721,0.163006766
66.0406,0.163136876
66.1091,0.163266926
66.1776,0.163396914
66.2461,0.163518666
66.3146,0.163648529
66.3831,0.163778331
66.4516,0.163908073
66.5201,0.164037754
66.5886,0.164159181
66.6571,0.164288737
66.7256,0.164418232
66.7941,0.164547668
66.8627,0.164677267
66.9312,0.134178279
66.9997,0.134285467
67.0682,0.134392609
67.1367,0.134499704
67.2052,0.134606752
67.2737,0.134713754
67.3422,0.134820709
67.4107,0.134927618
67.4792,0.135034481
67.5477,0.135141296
67.6162,0.135248066
67.6847,0.135354789
67.7532,0.135461466
67.8217,0.135568096
67.8903,0.135674866
67.9588,0.135781404
68.0273,0.135894765
68.0958,0.136001214
68.1643,0.136107617
68.2328,0.136213973
68.3013,0.136320284
68.3698,0.136433434
68.4383,0.136539656
